1,1,17,2024-11-07 16:49:00
2,1,88,2025-05-25 21:17:00
3,1,233,2024-10-08 03:46:00
4,1,289,2025-01-30 20:38:00
5,1,379,2025-02-20 00:05:00
6,1,430,2025-07-21 04:23:00
7,1,612,2025-07-12 21:56:00
8,1,627,2025-05-17 17:21:00
9,1,763,2024-12-07 15:55:00
10,1,829,2025-04-24 08:04:00
11,2,17,2024-10-21 00:10:00
12,2,88,2024-10-03 20:47:00
13,2,233,2025-06-09 15:40:00
14,2,289,2025-04-01 19:50:00
15,2,379,2024-10-22 22:00:00
16,2,430,2025-04-29 08:13:00
17,2,612,2024-11-03 00:26:00
18,2,627,2024-10-23 13:32:00
19,2,763,2024-11-29 05:23:00
20,2,829,2024-12-24 11:49:00
21,3,17,2025-04-14 20:40:00
22,3,88,2025-02-11 05:02:00
23,3,233,2025-06-04 15:03:00
24,3,289,2024-10-21 00:34:00
25,3,379,2025-03-21 02:04:00
26,3,430,2024-10-24 23:10:00
27,3,612,2025-02-06 19:02:00
28,3,627,2025-01-17 01:36:00
29,3,763,2025-01-02 16:14:00
30,3,829,2024-08-21 07:11:00
31,4,17,2024-10-18 11:14:00
32,4,88,2025-05-26 04:58:00
33,4,233,2024-09-02 11:37:00
34,4,289,2025-08-11 03:11:00
35,4,379,2024-10-18 23:54:00
36,4,430,2024-09-20 13:20:00
37,4,612,2024-09-24 19:52:00
38,4,627,2025-04-01 01:04:00
39,4,763,2024-10-19 02:30:00
40,4,829,2025-06-24 18:27:00
41,5,17,2024-10-03 21:39:00
42,5,88,2024-12-04 04:41:00
43,5,233,2024-11-30 11:57:00
44,5,289,2025-01-16 18:44:00
45,5,379,2025-05-12 14:31:00
46,5,430,2025-01-01 05:12:00
47,5,612,2024-12-17 15:08:00
48,5,627,2025-06-16 16:47:00
49,5,763,2025-01-05 11:40:00
50,5,829,2024-09-20 17:20:00
51,6,17,2025-01-01 06:55:00
52,6,88,2024-08-20 13:25:00
53,6,233,2025-07-05 11:50:00
54,6,289,2025-02-08 11:03:00
55,6,379,2024-08-20 00:47:00
56,6,430,2024-12-04 05:55:00
57,6,612,2025-01-16 12:29:00
58,6,627,2024-10-29 23:01:00
59,6,763,2025-04-18 15:49:00
60,6,829,2024-12-10 17:57:00
