566,1042
299,453
16,414
520,178
197,754
595,6
317,683
350,719
948,724
617,222
629,458
798,580
679,1018
883,316
837,564
362,947
333,169
993,238
725,674
782,872
826,1045
142,755
562,404
434,788
986,856
681,932
558,378
969,711
576,418
213,234
113,93
719,779
348,460
132,511
343,764
732,1040
536,243
338,940
429,489
751,741
514,20
137,592
722,139
865,424
123,877
992,810
91,972
714,974
678,764
152,221
636,636
841,383
726,928
640,800
899,591
426,616
408,459
654,917
678,230
477,76
969,751
248,470
986,577
415,1007
362,606
543,698
890,409
247,57
46,649
812,778
847,208
593,604
890,788
180,891
701,948
410,444
483,187
475,333
813,159
213,991
899,684
487,526
612,565
73,484
94,864
262,664
838,693
320,535
918,876
191,827
696,997
859,763
923,418
614,124
411,91
158,428
234,905
903,733
628,401
138,417
582,174
117,888
928,358
703,509
675,538
958,479
732,343
291,424
327,613
151,205
971,954
27,989
251,642
821,778
835,157
291,144
732,201
839,917
395,617
440,233
331,200
11,1041
940,486
411,745
696,597
184,168
993,692
274,863
231,176
897,154
962,37
927,274
499,355
743,617
1,177
723,864
445,586
983,772
472,778
60,523
29,508
831,463
513,659
403,536
4,756
801,227
486,989
377,638
615,236
526,722
901,227
925,740
636,285
489,140
317,653
569,834
584,311
900,624
654,754
817,468
204,1046
522,862
67,669
285,110
620,467
20,24
330,411
404,235
146,26
850,302
967,39
72,375
632,102
919,737
58,831
415,315
703,616
892,568
576,908
636,588
427,689
188,539
346,25
22,319
38,11
722,1031
416,928
802,957
945,864
70,112
349,219
1000,146
680,751
217,180
875,479
419,1032
942,926
985,195
148,548
894,528
400,295
623,438
52,594
959,1013
39,124
988,238
571,279
818,932
87,188
602,194
568,245
39,329
106,525
701,543
711,487
532,642
485,16
311,673
29,579
212,773
416,996
386,129
841,731
406,206
337,1040
217,990
858,329
362,232
782,1031
431,483
673,669
263,540
895,851
415,1003
53,32
88,598
902,128
853,872
44,603
555,421
758,511
146,359
654,838
717,1003
714,350
422,327
855,536
565,163
844,51
163,173
368,638
416,365
507,860
260,538
99,52
546,227
49,1013
223,677
366,237
101,977
705,217
846,775
826,16
101,589
862,880
979,863
60,1
890,444
894,655
749,9
373,32
711,104
807,478
621,1041
319,1019
68,1015
964,208
621,235
658,770
195,1040
986,66
50,803
319,610
367,200
471,713
495,581
400,27
258,1017
692,536
660,138
139,34
662,587
113,998
297,206
543,361
486,236
394,434
653,238
165,92
895,749
958,184
151,403
696,724
260,254
448,174
110,814
584,581
796,702
365,737
797,449
958,995
997,662
860,761
567,548
484,123
612,561
990,785
823,108
320,441
973,290
580,24
1000,432
447,956
169,113
539,433
158,449
813,120
30,1036
796,73
347,913
565,931
389,1007
157,390
429,248
919,315
743,974
557,930
970,707
65,842
674,816
94,1000
625,602
219,577
19,44
160,578
40,99
255,57
263,10
855,258
767,1002
390,716
18,590
196,697
734,844
182,47
695,666
844,341
929,121
718,789
245,262
695,739
530,139
555,832
237,242
437,776
568,461
186,643
986,261
771,450
235,511
933,418
522,673
208,530
662,782
425,635
823,583
788,538
717,532
368,1003
424,1020
431,357
772,790
760,972
71,345
161,111
738,297
737,432
290,983
952,272
941,475
562,9
167,521
379,300
650,212
890,691
284,352
554,956
292,222
944,348
817,14
233,537
76,912
229,1011
783,159
42,164
333,914
587,445
479,508
329,903
275,994
558,594
552,125
815,883
364,375
847,382
564,154
410,296
982,790
56,510
71,421
590,629
769,615
778,753
603,987
667,482
959,817
302,139
356,780
780,974
172,664
158,738
20,646
219,795
477,845
178,235
164,98
682,820
661,926
335,253
346,997
817,346
102,276
112,816
941,368
381,691
326,493
139,881
268,369
934,252
148,768
517,1002
853,711
814,838
386,1004
229,220
497,156
282,683
124,444
794,161
908,1030
195,990
833,428
207,1028
712,176
705,963
268,215
141,775
217,929
772,439
581,762
857,933
15,939
165,408
110,712
99,59
877,849
115,336
975,648
142,483
274,49
290,842
866,326
741,1013
839,160
567,58
393,221
577,1049
785,643
386,683
69,146
288,1026
452,615
174,12
265,42
86,46
971,3
581,604
840,40
93,362
939,335
401,49
600,280
263,725
186,361
648,754
593,68
861,470
124,1016
839,504
671,759
695,946
126,15
982,787
308,873
76,568
173,4
438,172
938,925
523,216
456,902
756,561
989,834
47,481
293,779
608,882
688,624
433,624
257,240
110,510
903,798
354,103
907,426
139,843
49,450
713,1049
5,347
734,30
69,664
373,623
271,642
572,936
406,82
647,612
304,407
498,566
386,402
186,195
498,272
474,876
877,23
389,682
188,397
499,712
296,177
3,680
751,878
981,11
609,648
97,296
919,147
835,1010
449,102
434,954
396,907
938,979
95,534
776,41
680,372
330,300
217,850
331,1000
895,671
359,73
845,954
237,582
569,540
694,316
783,172
422,360
939,357
698,241
877,554
585,563
543,935
327,528
120,706
665,1
61,169
901,199
407,823
49,972
305,561
192,945
523,296
142,832
34,408
145,544
4,161
368,330
766,893
846,976
665,1008
362,1022
54,400
837,219
153,887
457,1044
264,371
247,400
745,820
896,543
588,839
838,579
584,72
206,876
194,855
550,54
292,140
795,531
482,528
580,287
34,874
434,277
455,29
662,776
453,607
943,135
109,587
497,831
590,970
337,575
891,247
194,446
66,1030
584,668
437,770
783,613
925,45
756,735
277,94
206,277
385,711
23,163
841,885
309,807
548,191
685,814
971,213
946,329
718,591
451,117
219,685
445,190
594,1002
993,179
353,534
279,511
479,427
68,655
40,285
385,541
511,191
326,768
184,555
303,992
367,573
441,775
